名前,id,サブアイテム,ステータス,担当者,日付,次のタスクにより保留中：,次のタスクを保留中：,親アイテム
プログラムキックオフ,P.0.1,,未着手,全員,11/18/25,,,
プログラム週次定例,P.0.2,,未着手,各PM,11/25/25,,,
プログラム完了報告,P.0.3,,未着手,各PM,2/24/26,,,
成果物1: 実質PL(v1),1.1,,,,,,,
会計事務所へのアポイント調整,1.1.1,,未着手,しおん/鈴木,11/19/25,,,
会計事務所との調整会議,1.1.2,,未着手,しおん/鈴木,11/26/25,,,
現状PLデータ取得,1.1.3,,未着手,しおん,11/19/25,,,
「実質PL」ロジック設計,1.1.4,,未着手,鈴木/しおん,11/28/25,,,
「実質PL (v1)」試算,1.1.5,,未着手,鈴木/しおん,12/2/25,,,
レビューと承認,1.1.6,,未着手,しおん/なーすけ,12/4/25,,,
成果物2: コスト分析(M1),1.2,,,,,,,
コスト明細データ取得,1.2.1,,未着手,しおん,12/17/25,,,
コスト分類ルール設計,1.2.2,,未着手,鈴木/しおん,12/17/25,,,
全コスト明細の分類作業,1.2.3,,未着手,しおん/鈴木,12/22/25,,,
「外注構造マップ」作成,1.2.4,,未着手,鈴木,1/7/26,,,
「削減仮説」策定,1.2.5,,未着手,鈴木/しおん,1/14/26,,,
レポート作成とレビュー,1.2.6,,未着手,鈴木/なーすけ,1/21/26,,,
成果物3: KPIマップ(M2),1.3,,,,,,,
[第1回] KPI定義WS 準備（論点・たたき台作成）,1.3.1,,未着手,鈴木,11/21/25,,,
[第1回] KPI定義WS 実施（ジム・SFFのKPI定義）,1.3.2,,未着手,"鈴木/なーすけ,しおん",11/25/25,,,
[第2回] KPI定義WS 準備（論点・定義の精緻化）,1.3.3,,未着手,鈴木,11/28/25,,,
[第2回] KPI定義WS 実施（KPI定義の確定）,1.3.4,,未着手,"鈴木/なーすけ,しおん",12/2/25,,,
データ取得要件の定義と依頼（会計事務所・自社）,1.3.5,,未着手,鈴木/しおん,12/3/25,,,
「戦略KPIデータ取得・分析（LTV、 SFF貢献度等）」,1.3.6,,未着手,しおん/鈴木,12/18/25,,,
「主要レバー」の特定,1.3.7,,未着手,鈴木/なーすけ,1/16/26,,,
「経営判断マップ」作成（PL、 コスト、 KPIの統合）,1.3.8,,未着手,鈴木,1/23/26,,,
レビューと承認,1.3.9,,未着手,しおん/なーすけ,1/28/26,,,
成果物4: データ取得体制ロードマップ (M2以降),1.4,,,,,,,
取得不能データ（KPIギャップ）の特定,1.4.1,,未着手,鈴木/しおん,,,,
CRM導入要件へのインプット作成,1.4.2,,未着手,鈴木/しおん,,,,
ロードマップレビューと合意,1.4.3,,未着手,なーすけ/鈴木,,,,
現状課題リスト,2.1,,,,,,,
インタビュー設計,2.1.1,,未着手,鈴木,11/19/25,,,
STHインタビュー準備（対象者選定・日程調整）,2.1.2,,未着手,鈴木/中井,11/26/25,,,
STHインタビュー実施,2.1.3,,未着手,鈴木/中井,12/3/25,,,
課題収集・議事録作成,2.1.4,,未着手,鈴木,12/10/25,,,
課題の一次整理,2.1.5,,未着手,鈴木,12/12/25,,,
成果物1: 構造マップ(M1),2.2,,,,,,,
課題の分類,2.2.1,,未着手,鈴木/中井,12/16/25,,,
期待値の言語化,2.2.2,,未着手,鈴木,12/18/25,,,
Quick Win対象業務選定,2.2.3,,未着手,"鈴木/中井,なーすけ",12/25/25,,,
マップ作成とレビュー,2.2.4,,未着手,鈴木/中井,1/8/26,,,
成果物2&3: 組織図・RACI(v1),2.3,,,,,,,
主要業務プロセスの可視化,2.3.1,,未着手,鈴木/中井,1/15/26,,,
組織図（たたき台）作成,2.3.2,,未着手,"鈴木/なーすけ,中井",1/22/26,,,
RACI設計WS,2.3.3,,未着手,"鈴木/中井,なーすけ",1/29/26,,,
作成と承認,2.3.4,,未着手,"鈴木/なーすけ,中井",2/5/26,,,
ブループリント,3.1,,,,,,,
第1回 設計WS（壁打ち）,3.1.1,,未着手,,11/25/25,,,
第2回 設計WS（壁打ち）,3.1.2,,未着手,,12/4/25,,,
他ヒアリング候補リストアップ,3.1.2.a,,未着手,,11/19/25,,,
候補企業ヒアリング,3.1.3,,未着手,,11/25/25,,,
サービス設計思想の合意,3.1.4,,未着手,,12/11/25,,,
成果物1&2: VEATM提案・研修マテリアル,3.2,,,,,,,
VEATM社へのアポイント調整,3.2.1,,未着手,なーすけ,11/19/25,,,
VEATM社ヒアリング,3.2.2,,未着手,なーすけ,11/27/25,,,
ROIロジックとGate確定,3.2.3,,未着手,"鈴木/なーすけ",12/4/25,,,
マテリアル作成,3.2.4,,未着手,なーすけ/鈴木,12/11/25,,,
実行体制アサイン,3.2.5,,未着手,なーすけ,12/18/25,,,
提案・承認獲得,3.2.6,,未着手,なーすけ/鈴木,12/25/25,,,
成果物3: 効果測定(M2),3.3,,,,,,,
W0: 導入設計キックオフ,3.3.1,,未着手,なーすけ/鈴木,1/8/26,,,
W1: 本編WS実施,3.3.2,,未着手,なーすけ,1/15/26,,,
W2-4: 1on1伴走,3.3.3,,未着手,なーすけ,1/22/26,,,
W5: 振り返りと分析,3.3.4,,未着手,鈴木/しおん,2/12/26,,,
レポート作成・判定,3.3.5,,未着手,鈴木/なーすけ,2/19/26,,,