カテゴリ,しおんさんへの具体的な質問,回答例,意図,ゴール,記入先
共通,去年の「発注日」と「納品日」の記録はどこにありますか？,「共有ドライブの『2025制作管理』フォルダに、見積書と発注メールの控えが全て残っています」,過去の実績データに基づいた正確なリードタイムを算出するため。,1/16までの実績調査タスクの着手口を確定,"メダル：3月17日に発注
金メダル（ジョイタス）、銀銅（アリババ）
┗金メダルだけいい素材の物にしたかったため業者変えている

アリババ→菜菜子が入れるアリババのアカウントでやりとり
ただアカウントログイン情報があれば誰でも入れる
ジョイタス→サポートShape Fit FestivalのGoogleメール（神保さん・町田さん入れる）"
共通,しおんさんのチェックには通常何日間確保すべきですか？,「通常は3営業日あれば戻せますが、3月は本業が立て込むので1週間は見ておいてほしいです」,内部の確認待ちによる停滞をスケジュールに組み込むため。,「確認工程」の標準日数をCSVに反映,3日あればOK
共通,納期が厳しくなった際、どうやって調整して間に合わせましたか？,「印刷会社を特急プランに変更するか、パンフのページ数を減らして構成をシンプルにしました」,遅延発生時のリカバリープランを事前に想定しておくため。,リスク発生時の優先順位の合意,"納期が厳しくなった場合は、まにあう業者を探した
間に合うように業者に頼み込んだ"
パンフ,今年初めてのIDAさんの初稿までの期間は何営業日と見ていますか？,「IDAさんからは10日と言われていますが、初年度なので意思疎通のズレを考慮し15日は見たいです」,新規ベンダーによる「想定外の遅れ」を防止するため。,P7（初稿完成）の日付の妥当性確認,"まだここはIDAさんと話せていない
構成案・デザイン初稿・2回修正ぐらいの流れになりそう"
パンフ,IDAさんの「3月末データ」は完全データですか、修正前提ですか？,「入稿可能なPDFですが、スポンサーロゴの微調整だけ4月にこちらでやる用にAIデータも貰います」,4月以降にこちら側で作業が発生するかを明確にするため。,P2（成果物定義）の確定,まだここはIDAさんと話せていない
パンフ,例年一番集めるのに苦労したり、最後まで揃わない項目は何ですか？,「協賛企業の『最新ロゴ』と、運営チームが作る『最終タイムテーブル』が毎年ギリギリになります」,早期に着手すべき「重いタスク」を特定するため。,P6（素材回収）の細分化と優先順位付け,昨年パンフ作成していないため、予測にはなるが、協賛企業のロゴ集まるか不安
バッジ,デザイン担当（内製）は誰で、いつから作業できそうですか？,「広報の田中さんに依頼済みで、5月中旬の1週間をバッジ制作の集中期間として空けてもらっています」,「誰が」が決まっていないことによる着手遅延を防ぐため。,実務担当者のアサイン確定,"昨年は元のデザインは変えず、番号変更のみココナラで依頼
今年もその方向でOK"
バッジ,個別番号の割り振りでミスした点や現場での課題はありますか？,「去年は当日欠席者のバッジが混ざり受付が混乱したので、今年は事前に抜く作業をタスク化したい」,5/1の人数確定後のミスをゼロにし、現場のオペレーションを改善するため。,番号ルール（B2b）の設計指針FIX,中心から番号がずれていることがあった
メダル,デザインを「踏襲」か「新規」か決める際のポイントは何ですか？,「2025年の参加者アンケートが好評なら踏襲。大会テーマを刷新するなら新規で作ります」,判断を促し、型作成が必要な場合のリードタイムを確保するため。,デザイン方針決定（M4）の判断軸の言語化,"メダルは上にはっているだけなので型は必要なし
そのままのデザイン（足りない分だけ発注）
Want To Beのメダルのみ型を作った（今年発注なし）
参加賞のメダルみたいなのも新規で作れたらいいな（リクエスト）"
メダル,在庫を数える際、どういう状態なら「配布不可」としますか？,「表面に目立つ傷があるものはNG。リボンのほつれや汚れがあるものは全て予備に回します」,棚卸し後の「有効在庫数」を正確に出し、発注ミスを防ぐため。,M2（在庫棚卸し）の判定基準の合意,表面に目立つ傷があるものはNG。リボンのほつれや汚れがあるものは全て予備に回します
依存関係,始めるために受け取らなければならない「情報やデータ」は何ですか？,「パンフなら『全スポンサーのロゴ』、バッジなら『5/1時点の確定名簿』がないと着手できません」,タスク間の「つながり」を可視化し、待ち時間をなくすため。,全マイルストーンの「前提条件」を完全可視化,"パンフなら『全スポンサーのロゴ』
そもそもパンフに載せる情報がまだ定まっておらず、受け取りが必要なデータがどれか現状わかっていない"
完了定義,各工程が「終わった」と言えるのは、具体的にどういう状態ですか？,「単に送った時ではなく、『印刷会社からデータチェック完了・受付確定』の通知が来た時です」,「終わったつもり」による手戻りを防ぎ、解像度を高めるため。,各マイルストーンの完了定義（成果物）の明文化,マイルストーンの内容ができており、完了の報告までできていれば完了
運営,私（事務局側）の判断で進めてよい範囲はどこまでですか？,「誤字修正やレイアウト内での写真微調整は任せます。予算増や色の変更は必ず確認してください」,しおんさんのボトルネックを解消し、プロジェクトの速度を上げるため。,意思決定フローの明確化,"1タスク完了した段階で華音さんに確認
紫音さんに確認するのは、金額決定・最終決定版などのイメージ
タスク進行の際に華音さんから紫音さんに確認や相談があるイメージ"