カテゴリ,項目,内容,メモ,優先度
共通,承認フロー,担当→華音さん（タスク完了確認）→紫音さん（金額決定・最終判断）。,誤字修正やレイアウト微調整は担当一任。予算増・色変更は要確認。,
共通,遅延防止策,印刷会社の特急プラン利用、またはパンフページ数削減による構成簡略化。,納期厳守のためのリカバリープラン合意済み。,
共通,,,,
,前提条件（3制作物すべてに効く）,,,
,,使うのは大会当日（4日分）。配布や表彰で使う。,,
,,現場が楽になるので、できれば大会の1ヶ月前までに届いて、チェックと仕分けまで終わらせたい。,,
,,目標：2026/07/22 までに届いている状態にする（遅れないための早め設定）。,,
,,去年の発注の記録を集める（見積→発注→納品がいつだったか）。今年のスケジュールの根拠にする。,共有ドライブ『2025制作管理』に見積・発注控えあり。,
,,工程を細かく分けて、各工程に『何日かかるか』を出す（去年の実績を参考）。,,
,,今年お願いする会社を確認する（デザイン／製作／印刷）。,金:ジョイタス、銀銅:アリババ、パンフ:IDA,
,未確定で決める必要があること,,,
,,検品と仕分けを『誰が・どこで・いつやるか』を決める。,"検品と仕分け
誰が：神保さん
どこで：日吉
いつやるか：到着次第3日以内",
,,大会の開催日（関東／関西それぞれ）,"2026年8月15日（土）・8月16日（日） 　📍藤井寺市立市民総合会館（パープルホール） 
2026年9月22日（火・祝）・9月23日（水・祝） 　📍ひらしん平塚文化芸術ホール",
パンフレット,,,,
,確定していること,,,
,,パンフは『関東版／関西版』の2種類を作る予定。,「大枠は同じ」だが、大会ごとに違う情報のみ変更する想定,
,,パンフに協賛企業のロゴを載せる。,,
,,パンフのデザインはIDAさんが担当。,"データ納期：3月末。
内容は『入稿可能PDF』だが、4月に社内でロゴ微調整を行うため『AIデータ』も受領する。",
,,協賛ロゴの『確定締切』と『最新版の置き場』を決める。,企業様締切：4/20。置き場：Googleドライブ。責任者：神保さん。,
,未確定／要確認,,,
,,パンフに何を載せるか（内容・項目）,,★★★
,,関東と関西で『どこが違うか』を洗い出す。,"デザインの大枠は共通（表紙のデザイン、レイアウト）
大会別（大会日程や大会名、タイムテーブル、会場MAP、注意事項、スポンサー枠）",
,,一番集めるのに苦労するもの（ボトルネック）,"『協賛企業の最新ロゴ』と『最終タイムテーブル』。
これが最後まで揃わずギリギリになりやすい。",★★★
,遅延防止のための予防策,,,
,,Notionは公開中なので書き込みNG。編集用に別ページ（複製など）が必要。,,
,,大会別差分があるので、初期から “共通テンプレ＋差分差し替え”の作り方が前提になる,,
,,協賛ロゴは後から変わりやすい。差し替えの締切日を早めに決める。,,
,,初稿までの期間（IDAさん）,IDA提示は10日だが、初年度のため15日（バッファ込）で見積もる。,
バッジ,,,,
,確定していること,,,
,,過去データがGoogle Driveにある（参考にできる）。,,
,,作成フローのシートがある（手順のたたき台がある）。,,
,,2026年は種類を増やさず、デザインは1種類でよさそう。,,
,,例年は白背景デザイン。,,
,,番号（個別番号）は選手人数確定後に決定,,
,,選手人数は 5/1 に確定,,
,,使うのは大会当日（4日分）。,,
,,運用上、大会1ヶ月前には届いて検品できると余裕がある,,
,,デザイン作業の担当（誰がやるか）,番号変更のみココナラで依頼。デザインはそのままで,
,,番号運用・仕分け,"昨年、当日欠席者のバッジが混ざり混乱した。
今年は5/1のデータ確定後、印刷前に『欠席者削除』の工程を必ず挟む。",
,未確定／要確認,,,
,,バッジの「番号」運用の詳細,"何番から何番まで＞1大会の選手数再確認
関東・関西で分けるのか＞4大会ごとに分ける
カテゴリー紐づけ有無＞ある
例：MOS Short（No.31〜58）　60まで　など",
,,仕分け単位,"日程別（4DAY分）
10個単位で分ける",
,遅延防止の制約,,,
,,5/1以前にやるべきは「デザインの固定」「仕様・発注先の確定」「番号欄の設計」,,
,,5/1以降に「最終数量＋番号反映→発注」の流れになる,,
メダル,,,,
,確定していること,,,
,,発注先・デザイン方針,"金メダル：ジョイタス（高品質重視）
銀・銅：アリババ（菜菜子さんアカウント）
デザイン：アンケート好評なら踏襲、テーマ刷新なら新規。",
,,検品基準,「表面に目立つ傷があるものはNG。リボンのほつれや汚れがあるものは全て予備に回す」,
,前提条件,,,
,,最初は2025在庫で足りる想定だったが、足りないので発注する。,,
,,デザインを2025と同じにするか、変えるかは未決定。,,
,,2026年は1大会あたり6カテゴリー。,"「1種類24個あれば足りる」想定
いつも予備分も発注していた",
,,Want To Be の数は出場人数で変わる（4日分）。,,
,,使うのは大会当日（4日分）。,,
,未確定／要確認,,,
,,2026で発注するメダルの“対象範囲”,"WTB出場人数紫音さんに確認する必要あり
1大会15名の場合は4大会で合計60個のため、発注なしでOK",
,,予備数の基準（過去踏襲か、今年は何％か）,,
,,デザインを2025踏襲するか／変更するかの決裁者と決裁期限,新デザインの場合は型を作る必要があり、金額も時間もかかる,
,遅延防止の制約,,,
,,まず在庫を数える（種類別に良品が何個あるか）。,,
,,デザイン変更の有無が未決定なので、「踏襲なら即発注」「変更ならデザイン工程追加」でスケジュールが二股になる前提,,