,,,2025年度累計(9月時点),,,,,,,,決算整理,,,着地見込
No,勘定科目,,予算累計(9月時点),実績累計(9月時点),予算差異,前年実績累計(9月時点),前年実績差異,残期間前年実績,,残期間予算,予算,実績,前年実績,着地見込(累計実績+残期間予算)
1,,案件収益,"15,340","15,124",▲216,-,"+15,124",-,,"6,650",-,-,-,"21,774"
2,,広告収益,"5,090","5,205",+114,-,"+5,205",-,,"2,550",-,-,-,"7,755"
3,,売上高,-,-,-,"25,836",-,"8,834",,-,-,-,-,-
4,YouTube売上高,,"20,430","20,329",▲101,"25,836","▲5,507","8,834",,"9,200",-,-,-,"29,529"
5,,YouTube経,350,354,+5,-,+354,-,,42,-,-,-,396
6,,決済手数料,-,-,-,-,-,-,,-,-,-,-,-
7,売上原価,,350,354,+5,-,+354,-,,42,-,-,-,396
8,売上原価率(%),,1.7%,1.7%,+0.0%,-,+1.7%,-,,0.5%,-,-,-,1.3%
9,売上総損益金額,,"20,080","19,974",▲106,"25,836","▲5,861","8,834",,"9,158",-,-,-,"29,133"
10,,通信,6,6,-,212,▲205,71,,-,-,-,-,6
12,,旅    交通,730,800,+69,2,+798,-,,250,-,-,-,"1,050"
14,,水道光熱,-,-,-,214,-,172,,-,-,-,-,-
16,,リース料,404,404,-,-,+404,-,,289,-,-,-,692
18,設備維持    計,,"1,140","1,210",+69,428,+782,242,,539,-,-,-,"1,748"
19,,業務委託料,"13,393","13,429",+36,981,"+12,448","3,479",,"9,927",-,-,-,"23,356"
21,,広告宣伝,43,43,-,360,▲317,450,,-,-,-,-,43
23,,接待交際,31,31,-,28,+4,27,,-,-,-,-,31
25,,水道光熱,-,-,-,214,-,172,,-,-,-,-,-
27,,備品・消耗品,42,42,-,47,▲4,71,,-,-,-,-,42
29,,支払手数料,6,8,+2,"1,202","▲1,193",397,,-,-,-,-,8
31,営業    計,,"13,515","13,554",+38,"2,832","+10,722","4,596",,"9,927",-,-,-,"23,481"
32,販管費合計,,"14,656","14,763",+108,"3,260","+11,503","4,838",,"10,466",-,-,-,"25,229"
33,営業利益,,"5,425","5,211",▲214,"21,778","▲16,567","3,745",,"▲ 1,308",-,-,-,"3,903"
34,営業歴率(%),,26.6%,25.6%,▲0.9%,84.3%,▲58.7%,-,,-,-,-,-,-
35,,本社負担人件,"4,258","4,258",-,-,"+4,258",-,,"3,042",-,-,-,"7,300"
36,,本社負担他経,963,963,-,-,+963,-,,688,-,-,-,"1,651"
37,本社負担金,,"5,222","5,222",-,-,"+5,222",-,,"3,730",-,-,-,"8,951"
38,差し引き利益,,203,▲ 11,▲214,"21,778","▲21,789","3,745",,"▲ 5,037",-,-,-,"▲ 5,048"
39,営業歴率(%),,1.3%,▲ 0.1%,▲1.4%,-,▲0.1%,42.4%,,▲ 54.8%,-,-,-,▲ 17.1%
特記事項,,,,,,,,,,,,,,