大カテゴリ,中カテゴリ,具体的なタスク,なーすけ(演者),栞(PM),アシスタント(★新規)
1. 戦略・企画,方針策定,★ チャンネルKPI（再生数・収益）の策定・予実管理,A,C,R
,,★ 競合・トレンドのリサーチ（急上昇・サムネ傾向）,I,C,R
,会議・構成,毎週企画会議の開催・ファシリテーション,C,R/A,I
,,企画会議レジメ作成（進捗・PR日程まとめ）,-,A,R
,,★ 通常動画のネタ出し・企画ストック,R/A,C,-
,,★ 構成台本・絵コンテ作成（冒頭・オチの設計）,R/A,-,-
2. 案件管理,営業・契約,新規案件の問い合わせ対応・一次返信,-,A,R
,,★ 条件交渉・見積もり作成・提出,-,R/A,-
,,★ 契約書締結・リーガルチェック・捺印管理,-,A,R
,,★ 請求書発行・送付（企業案件）,-,A,R
,進行管理,オリエンシートの確認・演者への要約共有,I,A,R
,,PR商品の手配・受け取り・在庫管理,-,A,R
,,撮影・MTG日程の調整（企業⇔演者間）,I,A,R
,,構成案・動画初稿の企業確認依頼・修正管理,-,A,R
3. 制作準備,ロジ周り,撮影場所（ジム等）のリサーチ・アポ・申請,-,A,R
,,撮影スケジュールのカレンダー登録・共有,-,-,R
,,★ ゲスト出演依頼・DM送信・条件調整,A,R,-
,,★ 交通手段・宿泊の手配（遠征時）,I,A,R
,機材・備品,★ 機材準備（バッテリー充電・SD残量確認）,R,-,-
,,★ 消耗品（電池・テープ等）の在庫管理・補充,-,-,R
,,★ 香盤表（当日の進行表）作成,-,-,R
4. 撮影,収録,長尺動画の撮影・ディレクション,R,-,-
,,ショート動画の撮影,R,-,-
,,サムネイル用の写真撮影（ポーズ指定）,R,-,I
,データ・金銭,★ 現場での発生費用（駐車場・飲食）記録,R,-,I
,,★ 撮影データのバックアップ・クラウド保存,R,-,-
5. 編集・制作,素材管理,編集者への素材データ共有（アップロード）,-,A,R
,,★ 過去素材（BGM・ロゴ・画像）の整理・提供,-,-,R
,ショート編集,ショート動画のカット割・構成案作成,R/A,-,-
,,ショート動画の編集（テロップ・エフェクト）,-,-,R
,長尺編集,本編集（テロップ,BGM,色調）,-
,,モザイク処理・権利関係チェック,-,C,-
,チェック,初稿チェック・タイムコード付き修正指示,A,C,-
,サムネイル,サムネ素材選定・スクショ・補正,R,-,-
,,サムネデザイン作成（文字入れ・装飾）,R,-,-
6. 公開・運用,YouTube,YouTube Studioへのアップロード,-,A,R
,,メタデータ設定（タイトル・概要欄・タグ）,-,A,R
,,★ 終了画面・カード・字幕設定,-,-,R
,,★ 収益化設定・広告チェック・制限確認,-,-,R
,,★ コミュニティ投稿（画像・アンケート）,-,-,R
,SNS運用,Instagram日常ストーリー投稿（リアルタイム）,R,-,-
,,Instagramフィード投稿（画像作成・投稿）,R/A,-,R
,,Instagramリール投稿,R/A,-,R
,,X（旧Twitter）定期更新・動画告知,R,-,R
,,★ 各種SNSのDMチェック・重要案件の吸い上げ,I,A,R
,ファン対応,コメントへの「いいね」・返信（YouTube）,A,-,R
7. 分析・改善,効果測定,公開直後の初速確認（CTR・維持率）,-,I,R
,,★ サムネイルABテスト実施・記録,-,I,R
,,月次レポート作成（再生数・収益・属性）,I,A,R
,改善,分析に基づく次回企画への改善案提示,A,-,R
8. 事務・管理,経理・総務,★ 経費精算（カード明細・領収書照合）,-,A,R
,,★ スタッフ・外注費の支払い管理・振込,-,A,R
,組織,編集者・スタッフの採用・一次面接,I,R,-
,,★ 業務マニュアル・手順書の作成・更新,-,-,R
,,★ アカウント・パスワード管理,-,A,R